#ID	goname	hierarchy	num_prots
160	phosphorelay signal transduction system	P	1260
5975	carbohydrate metabolic process	P	3144
6082	organic acid metabolic process	P	5965
6139	nucleobase-containing compound metabolic process	P	13428
6163	purine nucleotide metabolic process	P	1209
6259	DNA metabolic process	P	3567
6281	DNA repair	P	1062
6310	DNA recombination	P	1380
6351	transcription, DNA-templated	P	4344
6355	regulation of transcription, DNA-templated	P	5303
6396	RNA processing	P	1494
6399	tRNA metabolic process	P	1362
6412	translation	P	2027
6464	cellular protein modification process	P	1670
6508	proteolysis	P	1624
6518	peptide metabolic process	P	2255
6520	cellular amino acid metabolic process	P	3313
6629	lipid metabolic process	P	2128
6725	cellular aromatic compound metabolic process	P	15297
6732	coenzyme metabolic process	P	1932
6753	nucleoside phosphate metabolic process	P	2222
6790	sulfur compound metabolic process	P	1242
6793	phosphorus metabolic process	P	6016
6796	phosphate-containing compound metabolic process	P	5670
6807	nitrogen compound metabolic process	P	22968
6810	transport	P	9907
6811	ion transport	P	3384
6812	cation transport	P	1825
6820	anion transport	P	1656
6950	response to stress	P	2485
6974	cellular response to DNA damage stimulus	P	1292
7165	signal transduction	P	1622
8104	protein localization	P	1201
8152	metabolic process	P	34816
8610	lipid biosynthetic process	P	1487
8643	carbohydrate transport	P	1104
8652	cellular amino acid biosynthetic process	P	1893
9056	catabolic process	P	3254
9058	biosynthetic process	P	15689
9059	macromolecule biosynthetic process	P	8450
9108	coenzyme biosynthetic process	P	1303
9117	nucleotide metabolic process	P	2192
9123	nucleoside monophosphate metabolic process	P	1223
9150	purine ribonucleotide metabolic process	P	1146
9161	ribonucleoside monophosphate metabolic process	P	1144
9165	nucleotide biosynthetic process	P	1423
9259	ribonucleotide metabolic process	P	1416
9260	ribonucleotide biosynthetic process	P	1002
9451	RNA modification	P	1096
9889	regulation of biosynthetic process	P	5741
9987	cellular process	P	30866
10468	regulation of gene expression	P	5759
10556	regulation of macromolecule biosynthetic process	P	5712
15031	protein transport	P	1156
15711	organic anion transport	P	1166
15833	peptide transport	P	1368
15849	organic acid transport	P	1055
16043	cellular component organization	P	2681
16051	carbohydrate biosynthetic process	P	1071
16053	organic acid biosynthetic process	P	2907
16070	RNA metabolic process	P	6931
16310	phosphorylation	P	2651
18130	heterocycle biosynthetic process	P	8327
19219	regulation of nucleobase-containing compound metabolic process	P	5461
19222	regulation of metabolic process	P	6056
19438	aromatic compound biosynthetic process	P	8044
19538	protein metabolic process	P	5580
19637	organophosphate metabolic process	P	3530
19693	ribose phosphate metabolic process	P	1608
19752	carboxylic acid metabolic process	P	5748
22607	cellular component assembly	P	1100
31323	regulation of cellular metabolic process	P	5895
31326	regulation of cellular biosynthetic process	P	5723
32259	methylation	P	1379
32774	RNA biosynthetic process	P	4530
32787	monocarboxylic acid metabolic process	P	1970
33036	macromolecule localization	P	1201
33554	cellular response to stress	P	1589
34220	ion transmembrane transport	P	1975
34470	ncRNA processing	P	1377
34641	cellular nitrogen compound metabolic process	P	17091
34645	cellular macromolecule biosynthetic process	P	8332
34654	nucleobase-containing compound biosynthetic process	P	6611
34660	ncRNA metabolic process	P	1877
35556	intracellular signal transduction	P	1308
36211	protein modification process	P	1670
42221	response to chemical	P	1060
42886	amide transport	P	1398
43043	peptide biosynthetic process	P	2150
43170	macromolecule metabolic process	P	16985
43412	macromolecule modification	P	2978
43436	oxoacid metabolic process	P	5891
43603	cellular amide metabolic process	P	2974
43604	amide biosynthetic process	P	2602
44237	cellular metabolic process	P	26556
44238	primary metabolic process	P	24758
44248	cellular catabolic process	P	2246
44249	cellular biosynthetic process	P	14965
44255	cellular lipid metabolic process	P	1834
44260	cellular macromolecule metabolic process	P	14670
