GO term	GO term name	GO category	# positive examples	# negative examples	# unknown examples
96	sulfur amino acid metabolic process	P	111	10437	51298
154	rRNA modification	P	171	10328	51347
160	phosphorelay signal transduction system	P	124	10439	51283
270	peptidoglycan metabolic process	P	125	10460	51261
271	polysaccharide biosynthetic process	P	192	10371	51283
1510	RNA methylation	P	139	10341	51366
1539	cilium or flagellum-dependent cell motility	P	110	10485	51251
2790	peptide secretion	P	160	10246	51440
5975	carbohydrate metabolic process	P	714	9884	51248
5976	polysaccharide metabolic process	P	230	10341	51275
5996	monosaccharide metabolic process	P	181	10389	51276
6022	aminoglycan metabolic process	P	134	10451	51261
6066	alcohol metabolic process	P	119	10480	51247
6081	cellular aldehyde metabolic process	P	205	10394	51247
6091	generation of precursor metabolites and energy	P	304	10295	51247
6163	purine nucleotide metabolic process	P	277	10282	51287
6164	purine nucleotide biosynthetic process	P	136	10413	51297
6259	DNA metabolic process	P	495	10076	51275
6281	DNA repair	P	229	10108	51509
6351	transcription, DNA-templated	P	177	10387	51282
6355	regulation of transcription, DNA-templated	P	807	9757	51282
6364	rRNA processing	P	228	10314	51304
6396	RNA processing	P	434	10132	51280
6399	tRNA metabolic process	P	341	10225	51280
6400	tRNA modification	P	182	10319	51345
6412	translation	P	268	10310	51268
6418	tRNA aminoacylation for protein translation	P	123	10411	51312
6461	protein complex assembly	P	120	10480	51246
6464	cellular protein modification process	P	326	10258	51262
6508	proteolysis	P	132	10452	51262
6518	peptide metabolic process	P	363	10223	51260
6520	cellular amino acid metabolic process	P	910	9675	51261
6525	arginine metabolic process	P	107	10465	51274
6575	cellular modified amino acid metabolic process	P	136	10450	51260
6576	cellular biogenic amine metabolic process	P	124	10462	51260
6629	lipid metabolic process	P	656	9941	51249
6631	fatty acid metabolic process	P	251	10314	51281
6633	fatty acid biosynthetic process	P	112	10404	51330
6644	phospholipid metabolic process	P	153	10401	51292
6732	coenzyme metabolic process	P	445	10154	51247
6733	oxidoreduction coenzyme metabolic process	P	170	10429	51247
6753	nucleoside phosphate metabolic process	P	456	10103	51287
6766	vitamin metabolic process	P	202	10397	51247
6767	water-soluble vitamin metabolic process	P	195	10404	51247
6790	sulfur compound metabolic process	P	373	10226	51247
6793	phosphorus metabolic process	P	946	9653	51247
6796	phosphate-containing compound metabolic process	P	877	9714	51255
6811	ion transport	P	708	9756	51382
6812	cation transport	P	402	10044	51400
6820	anion transport	P	408	10042	51396
6865	amino acid transport	P	197	10198	51451
6928	movement of cell or subcellular component	P	135	10465	51246
6935	chemotaxis	P	115	10485	51246
6974	cellular response to DNA damage stimulus	P	486	10109	51251
6979	response to oxidative stress	P	206	10390	51250
7154	cell communication	P	155	10445	51246
7165	signal transduction	P	173	10425	51248
8033	tRNA processing	P	193	10342	51311
8104	protein localization	P	253	10347	51246
8610	lipid biosynthetic process	P	414	10157	51275
8643	carbohydrate transport	P	215	10236	51395
8652	cellular amino acid biosynthetic process	P	517	10055	51274
8654	phospholipid biosynthetic process	P	140	10378	51328
9057	macromolecule catabolic process	P	192	10380	51274
9059	macromolecule biosynthetic process	P	887	9712	51247
9063	cellular amino acid catabolic process	P	187	10357	51302
9064	glutamine family amino acid metabolic process	P	189	10385	51272
9066	aspartate family amino acid metabolic process	P	173	10400	51273
9069	serine family amino acid metabolic process	P	125	10447	51274
9072	aromatic amino acid family metabolic process	P	140	10430	51276
9073	aromatic amino acid family biosynthetic process	P	126	10436	51284
9084	glutamine family amino acid biosynthetic process	P	112	10452	51282
9108	coenzyme biosynthetic process	P	296	10302	51248
9110	vitamin biosynthetic process	P	186	10413	51247
9116	nucleoside metabolic process	P	176	10384	51286
9117	nucleotide metabolic process	P	445	10114	51287
9119	ribonucleoside metabolic process	P	138	10422	51286
9123	nucleoside monophosphate metabolic process	P	150	10409	51287
9126	purine nucleoside monophosphate metabolic process	P	134	10425	51287
9141	nucleoside triphosphate metabolic process	P	184	10375	51287
9144	purine nucleoside triphosphate metabolic process	P	153	10405	51288
9150	purine ribonucleotide metabolic process	P	245	10304	51297
9152	purine ribonucleotide biosynthetic process	P	132	10413	51301
9161	ribonucleoside monophosphate metabolic process	P	138	10421	51287
9165	nucleotide biosynthetic process	P	245	10313	51288
9167	purine ribonucleoside monophosphate metabolic process	P	134	10425	51287
9199	ribonucleoside triphosphate metabolic process	P	143	10415	51288
9205	purine ribonucleoside triphosphate metabolic process	P	133	10425	51288
9259	ribonucleotide metabolic process	P	276	10282	51288
9260	ribonucleotide biosynthetic process	P	151	10406	51289
9266	response to temperature stimulus	P	103	10497	51246
9306	protein secretion	P	160	10226	51460
9308	amine metabolic process	P	129	10458	51259
9311	oligosaccharide metabolic process	P	155	10412	51279
9312	oligosaccharide biosynthetic process	P	131	10435	51280
9401	phosphoenolpyruvate-dependent sugar phosphotransferase system	P	146	10296	51404
9405	pathogenesis	P	197	10403	51246
9451	RNA modification	P	376	10190	51280
9605	response to external stimulus	P	364	10236	51246
9607	response to biotic stimulus	P	200	10400	51246
9628	response to abiotic stimulus	P	343	10257	51246
9889	regulation of biosynthetic process	P	977	9621	51248
9890	negative regulation of biosynthetic process	P	285	10313	51248
9891	positive regulation of biosynthetic process	P	179	10416	51251
9892	negative regulation of metabolic process	P	337	10261	51248
9893	positive regulation of metabolic process	P	220	10377	51249
9991	response to extracellular stimulus	P	175	10425	51246
10035	response to inorganic substance	P	336	10264	51246
10038	response to metal ion	P	250	10350	51246
10039	response to iron ion	P	168	10430	51248
10468	regulation of gene expression	P	951	9647	51248
10556	regulation of macromolecule biosynthetic process	P	946	9652	51248
10557	positive regulation of macromolecule biosynthetic process	P	164	10431	51251
10558	negative regulation of macromolecule biosynthetic process	P	262	10336	51248
10604	positive regulation of macromolecule metabolic process	P	192	10403	51251
10605	negative regulation of macromolecule metabolic process	P	311	10287	51248
10608	posttranscriptional regulation of gene expression	P	104	10478	51264
10628	positive regulation of gene expression	P	170	10411	51265
10629	negative regulation of gene expression	P	275	10307	51264
15031	protein transport	P	231	10182	51433
15672	monovalent inorganic cation transport	P	142	10295	51409
15711	organic anion transport	P	315	10124	51407
15833	peptide transport	P	303	10130	51413
15849	organic acid transport	P	272	10181	51393
15980	energy derivation by oxidation of organic compounds	P	207	10309	51330
16042	lipid catabolic process	P	156	10389	51301
16043	cellular component organization	P	601	9999	51246
16051	carbohydrate biosynthetic process	P	361	10208	51277
16052	carbohydrate catabolic process	P	246	10299	51301
16053	organic acid biosynthetic process	P	788	9811	51247
16054	organic acid catabolic process	P	371	10196	51279
16070	RNA metabolic process	P	966	9605	51275
16072	rRNA metabolic process	P	239	10327	51280
16310	phosphorylation	P	184	10404	51258
19219	regulation of nucleobase-containing compound metabolic process	P	889	9708	51249
19362	pyridine nucleotide metabolic process	P	130	10429	51287
19438	aromatic compound biosynthetic process	P	988	9610	51248
19439	aromatic compound catabolic process	P	270	10307	51269
19538	protein metabolic process	P	804	9780	51262
19637	organophosphate metabolic process	P	740	9851	51255
19693	ribose phosphate metabolic process	P	314	10273	51259
19725	cellular homeostasis	P	170	10428	51248
22607	cellular component assembly	P	416	10184	51246
22618	ribonucleoprotein complex assembly	P	120	10480	51246
30001	metal ion transport	P	137	10300	51409
30203	glycosaminoglycan metabolic process	P	127	10458	51261
31167	rRNA methylation	P	107	10322	51417
31324	negative regulation of cellular metabolic process	P	295	10303	51248
31325	positive regulation of cellular metabolic process	P	198	10397	51251
31326	regulation of cellular biosynthetic process	P	959	9639	51248
31327	negative regulation of cellular biosynthetic process	P	272	10326	51248
31328	positive regulation of cellular biosynthetic process	P	170	10425	51251
31667	response to nutrient levels	P	106	10494	51246
31668	cellular response to extracellular stimulus	P	152	10448	51246
32259	methylation	P	214	10385	51247
32268	regulation of cellular protein metabolic process	P	127	10470	51249
32774	RNA biosynthetic process	P	222	10343	51281
32787	monocarboxylic acid metabolic process	P	661	9937	51248
32879	regulation of localization	P	131	10467	51248
32940	secretion by cell	P	162	10285	51399
33013	tetrapyrrole metabolic process	P	105	10480	51261
33014	tetrapyrrole biosynthetic process	P	101	10483	51262
33036	macromolecule localization	P	253	10347	51246
33554	cellular response to stress	P	690	9907	51249
33692	cellular polysaccharide biosynthetic process	P	182	10358	51306
34220	ion transmembrane transport	P	245	10100	51501
34248	regulation of cellular amide metabolic process	P	106	10491	51249
34470	ncRNA processing	P	404	10142	51300
34622	cellular macromolecular complex assembly	P	152	10448	51246
34637	cellular carbohydrate biosynthetic process	P	198	10358	51290
34645	cellular macromolecule biosynthetic process	P	829	9770	51247
34654	nucleobase-containing compound biosynthetic process	P	581	9991	51274
34655	nucleobase-containing compound catabolic process	P	195	10341	51310
34660	ncRNA metabolic process	P	563	10003	51280
35556	intracellular signal transduction	P	126	10438	51282
36211	protein modification process	P	326	10258	51262
40007	growth	P	685	9915	51246
40011	locomotion	P	246	10354	51246
42180	cellular ketone metabolic process	P	160	10439	51247
42221	response to chemical	P	688	9912	51246
42330	taxis	P	115	10485	51246
42364	water-soluble vitamin biosynthetic process	P	179	10420	51247
42592	homeostatic process	P	190	10408	51248
42886	amide transport	P	315	10120	51411
43038	amino acid activation	P	137	10434	51275
43039	tRNA aminoacylation	P	136	10407	51303
43043	peptide biosynthetic process	P	324	10256	51266
43207	response to external biotic stimulus	P	200	10400	51246
43412	macromolecule modification	P	727	9872	51247
43414	macromolecule methylation	P	159	10385	51302
43603	cellular amide metabolic process	P	556	10030	51260
43604	amide biosynthetic process	P	466	10120	51260
43648	dicarboxylic acid metabolic process	P	248	10350	51248
43933	macromolecular complex subunit organization	P	277	10323	51246
44036	cell wall macromolecule metabolic process	P	111	10488	51247
44038	cell wall macromolecule biosynthetic process	P	105	10491	51250
44106	cellular amine metabolic process	P	127	10459	51260
44242	cellular lipid catabolic process	P	135	10394	51317
44248	cellular catabolic process	P	905	9677	51264
44255	cellular lipid metabolic process	P	584	9988	51274
44262	cellular carbohydrate metabolic process	P	361	10210	51275
44264	cellular polysaccharide metabolic process	P	209	10341	51296
44265	cellular macromolecule catabolic process	P	114	10453	51279
44267	cellular protein metabolic process	P	622	9962	51262
44270	cellular nitrogen compound catabolic process	P	302	10264	51280
44272	sulfur compound biosynthetic process	P	202	10373	51271
