#GO term	GO term name	GO category	# positive examples	# negative examples	# unknown examples
50	urea cycle	P	37	10549	51260
98	sulfur amino acid catabolic process	P	13	10492	51341
101	sulfur amino acid transport	P	33	10320	51493
103	sulfate assimilation	P	13	10560	51273
105	histidine biosynthetic process	P	46	10499	51301
272	polysaccharide catabolic process	P	24	10490	51332
451	rRNA 2'-O-methylation	P	24	10398	51424
453	enzyme-directed rRNA 2'-O-methylation	P	24	10398	51424
462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	P	18	10503	51325
725	recombinational repair	P	15	10182	51649
731	DNA synthesis involved in DNA repair	P	22	10534	51290
820	regulation of glutamine family amino acid metabolic process	P	12	10585	51249
910	cytokinesis	P	20	10571	51255
966	RNA 5'-end processing	P	11	10531	51304
967	rRNA 5'-end processing	P	11	10512	51323
1558	regulation of cell growth	P	12	10585	51249
1676	long-chain fatty acid metabolic process	P	11	10522	51313
1906	cell killing	P	31	10568	51247
2047	phenazine biosynthetic process	P	12	10570	51264
2048	pyoverdine metabolic process	P	21	10578	51247
2049	pyoverdine biosynthetic process	P	21	10545	51280
2098	tRNA wobble uridine modification	P	36	10408	51402
2143	tRNA wobble position uridine thiolation	P	15	10418	51413
2181	cytoplasmic translation	P	27	10310	51509
2376	immune system process	P	13	10580	51253
2682	regulation of immune system process	P	30	10568	51248
2683	negative regulation of immune system process	P	12	10586	51248
2684	positive regulation of immune system process	P	18	10578	51250
2791	regulation of peptide secretion	P	24	10569	51253
2792	negative regulation of peptide secretion	P	12	10582	51252
2949	tRNA threonylcarbamoyladenosine modification	P	29	10429	51388
3333	amino acid transmembrane transport	P	45	10154	51647
5977	glycogen metabolic process	P	29	10431	51386
5978	glycogen biosynthetic process	P	18	10417	51411
5984	disaccharide metabolic process	P	32	10510	51304
5991	trehalose metabolic process	P	18	10532	51296
5992	trehalose biosynthetic process	P	11	10538	51297
6002	fructose 6-phosphate metabolic process	P	19	10566	51261
6012	galactose metabolic process	P	21	10545	51280
6014	D-ribose metabolic process	P	11	10544	51291
6026	aminoglycan catabolic process	P	33	10519	51294
6027	glycosaminoglycan catabolic process	P	26	10527	51293
6040	amino sugar metabolic process	P	46	10545	51255
6044	N-acetylglucosamine metabolic process	P	17	10580	51249
6046	N-acetylglucosamine catabolic process	P	15	10551	51280
6047	UDP-N-acetylglucosamine metabolic process	P	16	10542	51288
6063	uronic acid metabolic process	P	16	10550	51280
6071	glycerol metabolic process	P	27	10495	51324
6094	gluconeogenesis	P	45	10497	51304
6097	glyoxylate cycle	P	12	10530	51304
6098	pentose-phosphate shunt	P	11	10509	51326
6105	succinate metabolic process	P	19	10567	51260
6107	oxaloacetate metabolic process	P	12	10586	51248
6108	malate metabolic process	P	20	10577	51249
6109	regulation of carbohydrate metabolic process	P	24	10573	51249
6112	energy reserve metabolic process	P	29	10481	51336
6113	fermentation	P	41	10472	51333
6140	regulation of nucleotide metabolic process	P	13	10583	51250
6144	purine nucleobase metabolic process	P	30	10528	51288
6152	purine nucleoside catabolic process	P	18	10499	51329
6167	AMP biosynthetic process	P	15	10502	51329
6171	cAMP biosynthetic process	P	12	10509	51325
6177	GMP biosynthetic process	P	18	10489	51339
6183	GTP biosynthetic process	P	13	10500	51333
6188	IMP biosynthetic process	P	11	10495	51340
6195	purine nucleotide catabolic process	P	22	10490	51334
6203	dGTP catabolic process	P	19	10471	51356
6207	'de novo' pyrimidine nucleobase biosynthetic process	P	19	10508	51319
6208	pyrimidine nucleobase catabolic process	P	19	10498	51329
6221	pyrimidine nucleotide biosynthetic process	P	48	10451	51347
6244	pyrimidine nucleotide catabolic process	P	21	10492	51333
6261	DNA-dependent DNA replication	P	40	10493	51313
6265	DNA topological change	P	24	10530	51292
6266	DNA ligation	P	17	10539	51290
6268	DNA unwinding involved in DNA replication	P	26	10562	51258
6270	DNA replication initiation	P	34	10524	51288
6271	DNA strand elongation involved in DNA replication	P	25	10533	51288
6275	regulation of DNA replication	P	23	10567	51256
6284	base-excision repair	P	21	10202	51623
6285	base-excision repair, AP site formation	P	19	10539	51288
6288	base-excision repair, DNA ligation	P	12	10541	51293
6298	mismatch repair	P	44	10188	51614
6302	double-strand break repair	P	42	10190	51614
6304	DNA modification	P	28	10520	51298
6307	DNA dealkylation involved in DNA repair	P	23	10534	51289
6308	DNA catabolic process	P	31	10490	51325
6313	transposition, DNA-mediated	P	16	10476	51354
6352	DNA-templated transcription, initiation	P	11	10514	51321
6354	DNA-templated transcription, elongation	P	13	10550	51283
6402	mRNA catabolic process	P	22	10451	51373
6414	translational elongation	P	16	10573	51257
6415	translational termination	P	25	10566	51255
6432	phenylalanyl-tRNA aminoacylation	P	19	10498	51329
6446	regulation of translational initiation	P	11	10562	51273
6448	regulation of translational elongation	P	40	10496	51310
6450	regulation of translational fidelity	P	23	10512	51311
6458	'de novo' protein folding	P	25	10541	51280
6465	signal peptide processing	P	14	10445	51387
6470	protein dephosphorylation	P	15	10481	51350
6474	N-terminal protein amino acid acetylation	P	23	10473	51350
6479	protein methylation	P	17	10473	51356
6486	protein glycosylation	P	24	10529	51293
6487	protein N-linked glycosylation	P	14	10534	51298
6521	regulation of cellular amino acid metabolic process	P	19	10578	51249
6522	alanine metabolic process	P	24	10545	51277
6524	alanine catabolic process	P	16	10520	51310
6527	arginine catabolic process	P	38	10493	51315
6528	asparagine metabolic process	P	16	10555	51275
6530	asparagine catabolic process	P	13	10524	51309
6531	aspartate metabolic process	P	22	10548	51276
6535	cysteine biosynthetic process from serine	P	30	10486	51330
6536	glutamate metabolic process	P	49	10508	51289
6537	glutamate biosynthetic process	P	27	10533	51286
6541	glutamine metabolic process	P	28	10481	51337
6544	glycine metabolic process	P	19	10545	51282
6545	glycine biosynthetic process	P	13	10540	51293
6548	histidine catabolic process	P	14	10516	51316
6549	isoleucine metabolic process	P	29	10527	51290
6551	leucine metabolic process	P	22	10546	51278
6555	methionine metabolic process	P	46	10465	51335
6558	L-phenylalanine metabolic process	P	23	10544	51279
6560	proline metabolic process	P	17	10552	51277
6561	proline biosynthetic process	P	13	10547	51286
6564	L-serine biosynthetic process	P	13	10542	51291
